"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","197804","2.848","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197805","3.237","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197806","2.828","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197807","2.752","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197808","2.497","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197809","2.384","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197810","2.192","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197811","2.246","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197812","2.485","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197813","31.563","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197901","3.049","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197902","2.593","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197903","3.159","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197904","3.094","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197905","3.527","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197906","3.044","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197907","2.774","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197908","2.591","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197909","2.313","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197910","2.458","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197911","2.726","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197912","2.769","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197913","34.094","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198001","3.029","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198002","2.56","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198003","2.914","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198004","3.083","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198005","3.457","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198006","3.312","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198007","2.924","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198008","2.452","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198009","2.214","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198010","2.14","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198011","2.301","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198012","2.451","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198013","32.838","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198101","3.048","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198102","2.576","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198103","2.932","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198104","3.102","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198105","3.478","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198106","3.333","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198107","2.942","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198108","2.467","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198109","2.228","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198110","2.153","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198111","2.316","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198112","2.466","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198113","33.043","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198201","3.049","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198202","2.576","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198203","2.932","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198204","3.103","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198205","3.479","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198206","3.333","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198207","2.943","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198208","2.468","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198209","2.228","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198210","2.153","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198211","2.316","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198212","2.466","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198213","33.046","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198301","3.068","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198302","2.593","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198303","2.951","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198304","3.122","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198305","3.501","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198306","3.354","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198307","2.961","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198308","2.483","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198309","2.243","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198310","2.167","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198311","2.331","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198312","2.482","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198313","33.255","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198401","3.045","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198402","2.573","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198403","2.928","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198404","3.099","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198405","3.474","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198406","3.329","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198407","2.939","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198408","2.464","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198409","2.226","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198410","2.15","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198411","2.313","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198412","2.463","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198413","33.002","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198501","3.047","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198502","2.575","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198503","2.93","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198504","3.101","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198505","3.476","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198506","3.331","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198507","2.941","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198508","2.466","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198509","2.227","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198510","2.152","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198511","2.314","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198512","2.465","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198513","33.024","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198601","3.046","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198602","2.574","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198603","2.93","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198604","3.1","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198605","3.476","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198606","3.33","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198607","2.94","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198608","2.466","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
